country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
india,haryana,sonipat,"murthal, sonipat - hspcb",2026-06-23 11:00:00,29.0272,77.0621,so2,15.0,31.0,23.0
india,haryana,sonipat,"murthal, sonipat - hspcb",2026-06-23 11:00:00,29.0272,77.0621,ozone,17.0,87.0,32.0
india,haryana,yamuna nagar,"gobind pura, yamuna nagar - hspcb",2026-06-23 11:00:00,30.1480566,77.2893471,pm2.5,24.0,62.0,36.0
india,haryana,yamuna nagar,"gobind pura, yamuna nagar - hspcb",2026-06-23 11:00:00,30.1480566,77.2893471,pm10,29.0,75.0,43.0
india,himachal pradesh,baddi,"himuda complex phase-1, baddi - hppcb",2026-06-23 11:00:00,30.943887,76.801991,pm2.5,25.0,220.0,87.0
india,himachal pradesh,baddi,"himuda complex phase-1, baddi - hppcb",2026-06-23 11:00:00,30.943887,76.801991,so2,15.0,47.0,19.0
india,jammu_and_kashmir,pampore,"khrew, pampore - jkpcc",2026-06-23 11:00:00,34.031606,75.009712,so2,4.0,5.0,4.0
india,jharkhand,dhanbad,"sardar patel nagar, dhanbad - jspcb",2026-06-23 11:00:00,23.80569,86.44268,no2,92.0,125.0,100.0
india,jharkhand,jorapokhar,"tata stadium, jorapokhar - jspcb",2026-06-23 11:00:00,23.707909,86.41467,pm10,32.0,93.0,69.0
india,jharkhand,jorapokhar,"tata stadium, jorapokhar - jspcb",2026-06-23 11:00:00,23.707909,86.41467,no2,8.0,8.0,8.0
india,jharkhand,jorapokhar,"tata stadium, jorapokhar - jspcb",2026-06-23 11:00:00,23.707909,86.41467,nh3,3.0,3.0,3.0
india,jharkhand,jorapokhar,"tata stadium, jorapokhar - jspcb",2026-06-23 11:00:00,23.707909,86.41467,co,38.0,40.0,39.0
india,karnataka,bagalkot,"vidayagiri, bagalkot - kspcb",2026-06-23 11:00:00,16.172806,75.659694,so2,10.0,10.0,10.0
india,karnataka,bagalkot,"vidayagiri, bagalkot - kspcb",2026-06-23 11:00:00,16.172806,75.659694,co,12.0,38.0,23.0
india,karnataka,bengaluru,"bwssb kadabesanahalli, bengaluru - cpcb",2026-06-23 11:00:00,12.9352049,77.6814488,pm10,54.0,55.0,54.0
india,karnataka,bengaluru,"bwssb kadabesanahalli, bengaluru - cpcb",2026-06-23 11:00:00,12.9352049,77.6814488,so2,6.0,6.0,6.0
india,karnataka,bengaluru,"bapuji nagar, bengaluru - kspcb",2026-06-23 11:00:00,12.951913,77.539784,pm10,18.0,48.0,31.0
india,karnataka,bengaluru,"city railway station, bengaluru - kspcb",2026-06-23 11:00:00,12.9756843,77.5660749,pm10,106.0,109.0,108.0
india,karnataka,bengaluru,"city railway station, bengaluru - kspcb",2026-06-23 11:00:00,12.9756843,77.5660749,co,57.0,66.0,60.0
