country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","23-06-2026 11:00:00",22.51106,88.35142,PM2.5,29,46,39
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","23-06-2026 11:00:00",22.51106,88.35142,NH3,7,10,8
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","23-06-2026 11:00:00",22.5448082,88.3403691,NO2,20,26,23
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","23-06-2026 11:00:00",26.6879226,88.4152495,PM2.5,13,27,18
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","23-06-2026 11:00:00",26.6879226,88.4152495,NH3,17,21,19
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","23-06-2026 11:00:00",25.599486,85.113666,OZONE,25,37,31
India,Bihar,Patna,"Samanpura, Patna - BSPCB","23-06-2026 11:00:00",25.596727,85.085624,CO,20,30,26
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","23-06-2026 11:00:00",25.366336,87.117468,NH3,2,2,2
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","23-06-2026 11:00:00",25.03280,85.41948,SO2,2,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","23-06-2026 11:00:00",25.892357,86.590325,PM2.5,6,200,45
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","23-06-2026 11:00:00",25.892357,86.590325,PM10,12,151,55
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","23-06-2026 11:00:00",25.892357,86.590325,OZONE,14,36,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","23-06-2026 11:00:00",25.859655,85.77944,PM10,19,175,68
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","23-06-2026 11:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","23-06-2026 11:00:00",26.2271665,84.3570427,PM10,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","23-06-2026 11:00:00",26.2271665,84.3570427,NO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","23-06-2026 11:00:00",26.2271665,84.3570427,CO,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","23-06-2026 11:00:00",26.2271665,84.3570427,OZONE,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","23-06-2026 11:00:00",30.735567,76.775714,PM2.5,8,57,32
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","23-06-2026 11:00:00",30.735567,76.775714,PM10,20,63,39
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","23-06-2026 11:00:00",30.735567,76.775714,CO,46,89,53
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-06-2026 11:00:00",30.751462,76.762879,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","23-06-2026 11:00:00",30.751462,76.762879,PM10,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","23-06-2026 11:00:00",25.204762,85.514960,CO,44,64,59
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","23-06-2026 11:00:00",25.567520,83.966379,PM2.5,25,60,42
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","23-06-2026 11:00:00",25.567520,83.966379,CO,22,29,25
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","23-06-2026 11:00:00",25.567520,83.966379,OZONE,12,155,36
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","23-06-2026 11:00:00",24.7955,84.9994,NO2,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","23-06-2026 11:00:00",24.7955,84.9994,CO,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 11:00:00",24.792403,84.992416,PM10,55,115,92
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 11:00:00",24.792403,84.992416,NH3,1,2,1
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 11:00:00",24.792403,84.992416,SO2,40,44,42
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 11:00:00",24.762518,84.982348,PM10,43,64,52
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 11:00:00",24.762518,84.982348,SO2,6,12,8
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 11:00:00",24.762518,84.982348,OZONE,7,74,20
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-06-2026 11:00:00",25.697189,85.245900,NO2,12,22,16
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-06-2026 11:00:00",25.697189,85.245900,CO,8,22,10
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","23-06-2026 11:00:00",25.560083,87.553265,PM10,7,35,21
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","23-06-2026 11:00:00",25.560083,87.553265,CO,74,96,87
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","23-06-2026 11:00:00",26.0881305,87.93840336,PM2.5,42,173,81
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","23-06-2026 11:00:00",27.308328,84.531742,NH3,1,1,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","23-06-2026 11:00:00",26.63086,84.90051,CO,12,16,14
India,Bihar,Munger,"Town Hall, Munger - BSPCB","23-06-2026 11:00:00",25.376776,86.471523,NO2,6,8,7
India,Bihar,Munger,"Town Hall, Munger - BSPCB","23-06-2026 11:00:00",25.376776,86.471523,CO,12,24,18
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.11442,85.39813,PM10,53,163,93
